id,type,label,value,row,col,x,y,connectedCellIds,monsterId,chestReward,requiresActivationCellId
white-3-center,REGULAR,3,3,3,7,49.5,38.5,"white-9-center;white-12-gem;m-boss-3",,,
white-6-center,REGULAR,6,6,2,8,60.0,30.0,"white-9-center;white-2-tr;white-11-center",,,
white-11-center,REGULAR,11,11,3,8,63.5,38.5,"white-6-center;white-7-tr",,,
white-10-boss-left,REGULAR,10,10,4,6,42.0,48.5,"white-12-gem;white-5-boss-left",,,
white-5-boss-left,REGULAR,5,5,5,6,46.0,57.0,"white-10-boss-left;white-7-bm-low",,,
activate-12-tr,GRAY_ACTIVATION,12 (Star),12,0,8,54.5,10.0,"white-12-uc;white-2-tr",,,
white-2-tr,REGULAR,2,2,1,8,58.5,17.5,"activate-12-tr;white-8-tr;white-6-center;white-9-center",,,
white-8-tr,REGULAR,8,8,2,8.5,57.0,24.5,"white-2-tr;white-9-tr;white-7-tr",,,
start-3-tr,START,3,3,0,10,67.0,10.5,"start-4-tr",,,
start-4-tr,START,4,4,0,11,74.0,10.5,"start-3-tr;start-5-tr",,,
start-5-tr,START,5,5,1,11,76.0,18.0,"start-4-tr;start-8-tr",,,
start-8-tr,START,8,8,2,11,76.5,26.0,"start-5-tr;start-10-tr;white-9-tr",,,
start-10-tr,START,10,10,3,11,76.0,34.0,"start-8-tr;start-11-tr;white-2-gem-tr",,,
start-11-tr,START,11,11,4,11,77.5,42.0,"start-10-tr;chest-3-mr",,,
white-9-tr,REGULAR,9,9,2,10,70.0,24.5,"start-8-tr;white-8-tr;m-growler-9",,,
white-7-tr,REGULAR,7,7,3,9.5,65.5,34.5,"white-8-tr;white-11-center;white-2-gem-tr;m-growler-3",,,
white-2-gem-tr,REGULAR,2,2,3,10,70.5,34.0,"white-7-tr;start-10-tr;chest-3-mr",,,
chest-3-mr,CHEST,Chest 3 (+3 HP & Gem),,5,10,76.5,50.5,"start-11-tr;white-2-gem-tr;white-12-gem-mr;white-4-mr",,EXTRA_HEALTH,
white-12-gem-mr,REGULAR,12,12,5,11,84.0,48.0,"chest-3-mr",,,
white-4-mr,REGULAR,4,4,6,10,71.5,55.5,"chest-3-mr;white-7-br-mid",,,
m-growler-3,MONSTER,Green Growler: 3,3,1,10,64.5,18.0,"white-7-tr;m-growler-5",green-growler,,
m-growler-5,MONSTER,Green Growler: 5,5,2,10,64.5,22.5,"m-growler-3;m-growler-9",green-growler,,
m-growler-9,MONSTER,Green Growler: 9,9,3,10,64.5,27.0,"m-growler-5;white-9-tr",green-growler,,
activate-6-bl,GRAY_ACTIVATION,6 (Star),6,7,3,14.0,69.0,"white-5-bl;white-7-bm;white-2-bl-gem",,,
white-2-bl-gem,REGULAR,2,2,7,4,21.0,66.5,"activate-6-bl;white-5-bl-low;white-6-bm",,,
white-5-bl-low,REGULAR,5,5,8,4,21.0,77.5,"white-2-bl-gem;m-wolf-4",,,
white-6-bm,REGULAR,6,6,7,5,28.5,66.5,"white-2-bl-gem;white-8-bm",,,
white-8-bm,REGULAR,8,8,7,6,35.5,66.5,"white-6-bm;white-7-bm-low",,,
white-7-bm-low,REGULAR,7,7,7,7,42.0,68.0,"white-8-bm;white-5-boss-left;m-primal-2",,,
m-wolf-4,MONSTER,White Wolf: 4,4,9,5,29.5,75.5,"white-5-bl-low;m-wolf-5",white-wolf,,
m-wolf-5,MONSTER,White Wolf: 5,5,10,5,29.5,82.5,"m-wolf-4;m-wolf-8",white-wolf,,
m-wolf-8,MONSTER,White Wolf: 8,8,11,5,29.5,89.5,"m-wolf-5",white-wolf,,
m-primal-2,MONSTER,Primal Hare: 2,2,9,7,49.0,73.0,"white-7-bm-low;m-primal-12;white-6-bm-right",primal-hare,,
m-primal-12,MONSTER,Primal Hare: 12,12,10,7,49.0,82.0,"m-primal-2",primal-hare,,
activate-8-bm,GRAY_ACTIVATION,8 (Star),8,7,8,58.0,62.5,"white-9-bm;m-boss-8",,,
white-6-bm-right,REGULAR,6,6,8,8,56.5,73.0,"m-primal-2;white-10-bm-right",,,
white-10-bm-right,REGULAR,10,10,8,9,63.0,69.0,"white-6-bm-right;white-9-bm;white-8-br-low",,,
white-9-bm,REGULAR,9,9,7,9,64.0,62.5,"white-10-bm-right;activate-8-bm;white-7-br-mid",,,
white-7-br-mid,REGULAR,7,7,7,10,67.0,57.0,"white-9-bm;white-4-mr;white-9-br-mid",,,
white-9-br-mid,REGULAR,9,9,7,11,74.0,59.5,"white-7-br-mid;activate-2-br",,,
white-8-br-low,REGULAR,8,8,8,10,73.0,69.0,"white-10-bm-right;m-punk-3;activate-2-br",,,
activate-2-br,GRAY_ACTIVATION,2 (Star),2,8,11,81.0,69.0,"white-8-br-low;white-9-br-mid;m-punk-11",,,
m-punk-3,MONSTER,Punk Hare: 3,3,9,10,73.0,78.0,"white-8-br-low;m-punk-11",punk-hare,,
m-punk-11,MONSTER,Punk Hare: 11,11,10,10,80.5,78.0,"m-punk-3;activate-2-br",punk-hare,,
m-boss-3,MONSTER,Boss: 3,3,4,7,55.5,43.5,"white-3-center;m-boss-4",boss-bearpion,,
m-boss-4,MONSTER,Boss: 4,4,5,7,55.5,50.0,"m-boss-3;m-boss-5",boss-bearpion,,
m-boss-5,MONSTER,Boss: 5,5,6,7,55.5,56.5,"m-boss-4;m-boss-8",boss-bearpion,,
m-boss-8,MONSTER,Boss: 8,8,4,8,61.0,43.5,"m-boss-5;m-boss-11a;activate-8-bm",boss-bearpion,,
m-boss-11a,MONSTER,Boss: 11,11,5,8,61.0,50.0,"m-boss-8;m-boss-11b",boss-bearpion,,
m-boss-11b,MONSTER,Boss: 11 (Req Gray 8),11,6,8,61.0,56.5,"m-boss-11a;activate-8-bm",boss-bearpion,,activate-8-bm
